OPEID6,INSTNM,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT4_048_PUB,NPT4_3075_PUB,COSTT4_A,income_midpoints
2970.0,Surry Community College,5629.0,5049.0,6958.0,,,5389.0,5547.0,14291.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
5463.0,Alamance Community College,13793.0,14729.0,15750.0,16576.0,,14184.0,15239.0,22690.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
9430.0,Tri-County Community College,4050.0,5251.0,5454.0,6096.0,,4403.0,5358.0,13699.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
9903.0,Vance-Granville Community College,870.0,1034.0,4566.0,6264.0,8766.0,923.0,3168.0,10441.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
4844.0,Wake Technical Community College,1175.0,2271.0,4552.0,8397.0,10485.0,1603.0,3451.0,10941.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
2980.0,Wayne Community College,3875.0,4436.0,4702.0,5707.0,,4119.0,4539.0,11688.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
2982.0,Western Piedmont Community College,6035.0,7130.0,7834.0,10133.0,,6364.0,7389.0,16311.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
2983.0,Wilkes Community College,405.0,647.0,2319.0,3140.0,,508.0,1366.0,10716.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
4845.0,Wilson Community College,6042.0,5470.0,7192.0,12528.0,12528.0,5832.0,6290.0,12528.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
2986.0,Winston-Salem State University,12353.0,13854.0,17019.0,20177.0,21307.0,12905.0,15083.0,22372.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
2981.0,Western Carolina University,9032.0,11543.0,14061.0,16629.0,18130.0,10054.0,12969.0,18731.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
2988.0,Bismarck State College,7644.0,8415.0,11474.0,13530.0,14478.0,7918.0,10267.0,15737.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
2989.0,Dickinson State University,11645.0,13070.0,14326.0,16822.0,17157.0,12255.0,13765.0,20098.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
25537.0,Nueta Hidatsa Sahnish College,8446.0,6644.0,10460.0,11717.0,11717.0,8169.0,9188.0,11717.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
2991.0,Lake Region State College,7502.0,8234.0,8927.0,12730.0,14803.0,7733.0,8640.0,16359.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
22365.0,Cankdeska Cikana Community College,8634.0,10353.0,9391.0,,,8766.0,9872.0,13539.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
2993.0,Mayville State University,9891.0,12207.0,13694.0,16335.0,16935.0,10943.0,12868.0,19966.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
2994.0,Minot State University,9130.0,7543.0,10782.0,13396.0,14912.0,8524.0,9365.0,17273.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
